id,captured_at,company,role_title,role_family,seniority,location,employment_type,compensation,status,source_type,source_url,tags,listing_path
2025-08-15-apple-software-engineer-system-experience,2025-08-15,Apple,"Software Engineer, System Experience",infra/platform,,,,,extracted,html,https://jobs.apple.com/en-us/details/200602358/software-engineer-system-experience,"imported,infra,platform,systems,apple,html",listings/2025/2025-08-15-apple-software-engineer-system-experience/listing.md
2025-08-15-stripe-developer-experience-engineer,2025-08-15,Stripe,Developer Experience Engineer,developer-experience,,New York Privy HQ,Full time,,extracted,pdf,,"imported,developer-experience,stripe,pdf",listings/2025/2025-08-15-stripe-developer-experience-engineer/listing.md
2025-08-15-stripe-senior-staff-engineer-core-infrastructure,2025-08-15,Stripe,"Senior Staff Engineer, Core Infrastructure",infra/platform,senior-staff,"New York, South San Francisco HQ, Seattle, or Chicago",Full time,,extracted,pdf,,"imported,infra,platform,senior-staff,infrastructure,stripe,pdf",listings/2025/2025-08-15-stripe-senior-staff-engineer-core-infrastructure/listing.md
2025-08-15-stripe-staff-engineer-connect-risk-and-compliance,2025-08-15,Stripe,"Staff Engineer, Connect Risk & Compliance",security/compliance,staff,"South San Francisco HQ, T oronto, New York, Chicago, or Seattle",Full time,,extracted,pdf,,"imported,security,compliance,staff,risk,connect,stripe,pdf",listings/2025/2025-08-15-stripe-staff-engineer-connect-risk-and-compliance/listing.md
2025-08-15-stripe-staff-engineer-experimentation-platform,2025-08-15,Stripe,"Staff Engineer, Experimentation Platform",infra/platform,staff,"Seattle, or South San Francisco HQ",Full time,,extracted,pdf,,"imported,infra,platform,staff,experimentation,stripe,pdf",listings/2025/2025-08-15-stripe-staff-engineer-experimentation-platform/listing.md
2025-08-15-stripe-staff-software-engineer-data-movement,2025-08-15,Stripe,"Staff Software Engineer, Data Movement",data,staff,"Seattle, or New York",Full time,,extracted,pdf,,"imported,data,staff,stripe,pdf",listings/2025/2025-08-15-stripe-staff-software-engineer-data-movement/listing.md
2025-08-21-copilot-money-head-of-engineering,2025-08-21,Copilot Money,Head of Engineering,engineering-management,head,New York City,Full time,,extracted,pdf,https://jobs.ashbyhq.com/copilot-money/20a502a8-5260-4df3-a8ba-d0d5701bafc1,"imported,engineering-management,head,copilot-money,pdf",listings/2025/2025-08-21-copilot-money-head-of-engineering/listing.md
2025-08-24-apple-specialist-full-time-part-time-and-part-time-temporary,2025-08-24,Apple,"Specialist: Full-Time, Part-Time, and Part-Time Temporary",retail,specialist,,,,extracted,pdf,,"imported,retail,specialist,apple,pdf",listings/2025/2025-08-24-apple-specialist-full-time-part-time-and-part-time-temporary/listing.md
2026-05-09-readwise-senior-staff-engineer-backend-focus,2026-05-09,Readwise,Senior/Staff Engineer (Backend Focus),backend,senior-staff,Remote,Full time,,extracted,pdf,https://readwise.io/careers/senior-staff-engineer,"imported,backend,senior-staff,readwise,pdf",listings/2026/2026-05-09-readwise-senior-staff-engineer-backend-focus/listing.md
2026-05-11-job-application-for-staff-software-engineer-developer-productivity-at-anthropi,2026-05-11,,"Job Application for Staff+ Software Engineer, Developer Productivity at Anthropi",software-engineering,staff,Remote,Full time,,extracted,pdf,https://job-boards.greenhouse.io/anthropic/jobs/5110511008,"imported,software-engineering,staff,pdf",listings/2026/2026-05-11-job-application-for-staff-software-engineer-developer-productivity-at-anthropi/listing.md
